savivaldybe,rodiklis,metai,metai_menesis,menesis,nedarbas,vid_nedarbas
Kėdainių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,8.60,
Kėdainių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,8.60,
Kėdainių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,8.50,
Kėdainių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,8.50,
Kėdainių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,8.20,
Kėdainių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,8.20,
Kėdainių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,8.50,
Kėdainių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,9.00,
Kelmės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,11.90,10.94
Kelmės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,11.80,
Kelmės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,11.60,
Kelmės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,10.40,
Kelmės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,10.20,
Kelmės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,10.60,
Kelmės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,10.50,
Kelmės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,10.90,
Kelmės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,10.80,
Kelmės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,10.40,
Kelmės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,10.80,
Kelmės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,11.40,
Klaipėdos m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,9.00,8.50
Klaipėdos m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,9.10,
Klaipėdos m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,9.00,
Klaipėdos m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,8.50,
Klaipėdos m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,7.90,
Klaipėdos m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,8.10,
Klaipėdos m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,8.40,
Klaipėdos m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,8.40,
Klaipėdos m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,8.30,
Klaipėdos m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,8.30,
Klaipėdos m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,8.30,
Klaipėdos m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,8.70,
Klaipėdos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,6.10,6.20
Klaipėdos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,6.20,
Klaipėdos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,6.20,
Klaipėdos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,5.90,
Klaipėdos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,5.60,
Klaipėdos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,5.80,
Klaipėdos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,6.00,
Klaipėdos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,6.30,
Klaipėdos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,6.40,
Klaipėdos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,6.40,
Klaipėdos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,6.60,
Klaipėdos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,6.90,
Kretingos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,7.90,7.54
Kretingos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,8.10,
Kretingos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,7.90,
Kretingos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,7.20,
Kretingos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,6.50,
Kretingos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,6.50,
Kretingos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,6.70,
Kretingos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,6.90,
Kretingos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,7.60,
Kretingos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,8.00,
Kretingos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,8.40,
Kretingos r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,8.80,
Kupiškio r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,9.50,8.68
Kupiškio r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,9.60,
